"            Station
Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,"Dapinglin
(Songshan-Xindian Line)",Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,"Jingan
(Zhonghe-Xinlu Line)",Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,"Banqiao
(Bannan Line)",Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,"Touqianzhuang
(Zhonghe-Xinlu Line)",Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng,Shisizhang,Xiulang Bridge,Jingping,Zhonghe,Qiaohe,Zhongyuan,Banxin,"Banqiao
(Circular Line)",Xingpu Minsheng,Xingfu,New Taipei Industrial Park
2025/2/1,"2,981 ","6,866 ","18,848 ","36,689 ","10,902 ","6,738 ","6,124 ","3,274 ","2,080 ","6,040 ","1,439 ","2,900 ","11,420 ","4,122 ","8,975 ","3,687 ","5,025 ","3,419 ","7,183 ","3,465 ","4,743 ","7,396 ","2,469 ","12,625 ","3,377 ","10,677 ","8,412 ","10,671 ","12,436 ","10,956 ","7,282 ","15,502 ","8,619 ","14,994 ","17,971 ","3,571 ","24,787 ","17,176 ","13,169 ","16,393 ","6,807 ","124,841 ","45,954 ","14,616 ","12,725 ","23,218 ","24,242 ","25,080 ","16,671 ","6,901 ","16,958 ","5,416 ","5,644 ","14,524 ","7,753 ","3,780 ","1,804 ","12,380 ","7,200 ","12,659 ","46,174 ","5,811 ","9,252 ","5,968 ","15,989 ","11,918 ","21,995 ","33,348 ","23,142 ","18,466 ","33,612 ","73,783 ","8,900 ","28,795 ","21,109 ","21,037 ","46,230 ","11,956 ","12,333 ","6,671 ","17,275 ","8,982 ","28,278 ","11,045 ","7,891 ","13,260 ","14,335 ","8,717 ","10,864 ","19,577 ","4,212 ","6,780 ","2,956 ","2,277 ","11,041 ","6,434 ","9,822 ","9,813 ","10,064 ","18,387 ","17,351 ","8,547 ","8,712 ","9,254 ","8,589 ","9,243 ","6,889 ","5,846 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/2,"3,439 ","6,471 ","17,037 ","31,745 ","9,874 ","6,512 ","5,816 ","2,968 ","1,965 ","5,511 ","1,293 ","2,401 ","5,836 ","4,368 ","7,994 ","3,688 ","5,104 ","3,227 ","6,830 ","2,631 ","4,328 ","6,700 ","2,278 ","11,456 ","3,208 ","8,003 ","7,668 ","9,793 ","10,810 ","10,450 ","7,135 ","15,512 ","9,081 ","15,859 ","14,222 ","2,984 ","22,987 ","15,831 ","12,126 ","14,324 ","6,140 ","102,740 ","40,848 ","12,047 ","12,741 ","19,044 ","17,964 ","19,950 ","15,004 ","6,434 ","15,718 ","4,762 ","4,829 ","14,022 ","5,422 ","2,690 ","1,354 ","8,984 ","6,145 ","9,382 ","26,327 ","5,228 ","8,012 ","4,872 ","14,032 ","10,721 ","19,434 ","29,010 ","22,000 ","16,826 ","26,773 ","62,358 ","8,395 ","25,303 ","18,987 ","17,079 ","38,431 ","12,400 ","11,451 ","6,635 ","14,514 ","6,780 ","20,157 ","10,041 ","5,922 ","11,701 ","13,958 ","8,846 ","10,774 ","17,225 ","4,024 ","5,589 ","2,435 ","2,020 ","7,738 ","5,774 ","8,242 ","8,566 ","9,874 ","16,176 ","15,845 ","7,570 ","7,299 ","7,800 ","7,580 ","8,157 ","5,768 ","5,067 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/3,"4,769 ","13,490 ","45,996 ","39,998 ","22,132 ","12,805 ","10,814 ","4,032 ","3,191 ","11,719 ","2,081 ","3,757 ","3,128 ","7,187 ","10,583 ","15,157 ","17,096 ","4,665 ","9,903 ","2,858 ","7,747 ","8,059 ","7,168 ","27,059 ","3,414 ","9,716 ","12,746 ","15,406 ","19,616 ","14,042 ","9,791 ","20,441 ","14,323 ","28,944 ","22,329 ","8,251 ","33,721 ","23,956 ","20,910 ","19,066 ","24,200 ","125,350 ","44,659 ","21,852 ","22,120 ","20,874 ","19,417 ","21,794 ","21,436 ","11,827 ","28,088 ","6,326 ","7,940 ","16,343 ","4,655 ","3,748 ","3,302 ","11,785 ","8,705 ","12,875 ","23,037 ","9,404 ","12,792 ","8,418 ","22,461 ","22,960 ","25,462 ","39,515 ","35,802 ","27,983 ","25,279 ","60,244 ","19,402 ","31,701 ","31,085 ","23,043 ","58,524 ","18,911 ","16,428 ","14,701 ","21,670 ","12,331 ","30,449 ","19,796 ","6,432 ","15,141 ","41,044 ","21,340 ","24,569 ","24,690 ","7,315 ","10,233 ","4,622 ","5,564 ","8,187 ","9,778 ","10,473 ","11,058 ","16,552 ","29,257 ","22,742 ","13,334 ","11,671 ","12,256 ","12,478 ","12,042 ","9,443 ","8,699 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/4,"4,909 ","13,807 ","46,609 ","42,450 ","23,869 ","13,697 ","11,238 ","4,016 ","3,669 ","11,776 ","2,261 ","4,069 ","7,044 ","7,707 ","10,911 ","15,711 ","18,061 ","4,900 ","10,273 ","3,271 ","8,020 ","10,653 ","7,242 ","27,251 ","3,428 ","10,544 ","13,326 ","15,954 ","20,817 ","15,136 ","10,065 ","24,283 ","15,301 ","31,761 ","27,689 ","9,021 ","35,389 ","25,978 ","22,082 ","20,570 ","26,078 ","134,014 ","48,683 ","23,853 ","23,383 ","24,345 ","24,065 ","26,748 ","23,075 ","12,786 ","30,062 ","6,860 ","8,164 ","18,518 ","6,061 ","4,113 ","3,457 ","13,134 ","9,815 ","14,516 ","29,986 ","9,787 ","13,867 ","8,898 ","23,699 ","24,707 ","27,879 ","40,920 ","37,859 ","29,925 ","28,253 ","69,127 ","20,642 ","34,736 ","33,960 ","24,600 ","61,447 ","19,634 ","16,815 ","15,232 ","22,893 ","13,733 ","39,116 ","20,712 ","8,058 ","16,753 ","41,609 ","22,300 ","25,094 ","27,324 ","7,994 ","11,192 ","4,864 ","5,638 ","10,398 ","10,063 ","11,122 ","12,206 ","16,772 ","29,781 ","25,540 ","13,867 ","12,341 ","12,797 ","12,695 ","12,555 ","10,346 ","9,261 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/5,"4,975 ","14,039 ","47,608 ","43,356 ","24,365 ","13,581 ","11,235 ","4,069 ","3,751 ","12,020 ","2,265 ","4,064 ","6,606 ","8,040 ","11,142 ","15,945 ","18,147 ","5,416 ","10,367 ","3,471 ","8,333 ","10,281 ","6,992 ","28,568 ","3,577 ","10,744 ","13,418 ","16,031 ","20,795 ","15,523 ","10,168 ","27,167 ","15,574 ","32,352 ","28,056 ","9,366 ","35,199 ","26,050 ","22,295 ","20,660 ","25,926 ","141,128 ","50,395 ","24,026 ","23,249 ","24,873 ","24,717 ","27,246 ","23,472 ","12,684 ","30,536 ","6,852 ","8,129 ","19,057 ","5,912 ","4,247 ","3,469 ","13,243 ","10,026 ","14,487 ","29,684 ","10,073 ","13,887 ","9,102 ","24,021 ","24,513 ","28,088 ","41,473 ","38,177 ","29,919 ","28,391 ","70,488 ","21,542 ","34,716 ","34,923 ","25,266 ","62,556 ","19,630 ","17,542 ","15,538 ","23,819 ","13,869 ","39,428 ","20,780 ","7,950 ","17,152 ","42,322 ","22,877 ","25,517 ","27,816 ","8,003 ","11,896 ","5,123 ","5,872 ","10,272 ","10,015 ","11,119 ","12,354 ","17,744 ","30,347 ","25,523 ","14,102 ","12,773 ","13,034 ","12,754 ","12,626 ","10,724 ","9,385 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/6,"5,010 ","14,243 ","48,523 ","44,206 ","24,617 ","13,620 ","11,628 ","4,204 ","3,791 ","12,320 ","2,314 ","4,229 ","7,294 ","8,289 ","11,945 ","16,193 ","18,223 ","5,464 ","10,645 ","3,488 ","8,498 ","9,864 ","7,272 ","47,342 ","3,463 ","10,755 ","13,708 ","16,012 ","21,049 ","15,737 ","10,336 ","24,560 ","15,844 ","32,363 ","28,656 ","9,499 ","35,706 ","26,648 ","22,204 ","21,052 ","25,565 ","147,377 ","51,452 ","24,091 ","24,647 ","26,700 ","25,049 ","27,223 ","23,856 ","12,525 ","30,766 ","7,197 ","8,312 ","18,814 ","5,776 ","4,260 ","3,587 ","13,395 ","9,997 ","14,702 ","29,496 ","10,154 ","14,380 ","9,280 ","24,482 ","24,613 ","29,192 ","43,207 ","38,538 ","30,304 ","29,355 ","74,349 ","21,293 ","36,193 ","35,513 ","25,875 ","65,110 ","20,425 ","18,697 ","15,808 ","26,613 ","14,428 ","41,742 ","20,969 ","8,157 ","17,129 ","44,263 ","23,100 ","26,099 ","28,576 ","8,205 ","12,285 ","5,185 ","5,765 ","10,875 ","10,618 ","11,348 ","12,467 ","17,498 ","31,437 ","26,218 ","14,493 ","12,817 ","13,003 ","13,013 ","12,727 ","10,804 ","9,664 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/7,"5,196 ","14,676 ","51,727 ","49,244 ","26,206 ","15,159 ","11,921 ","4,284 ","3,827 ","12,024 ","2,232 ","4,165 ","4,650 ","8,146 ","12,424 ","16,001 ","18,070 ","5,249 ","11,011 ","3,120 ","8,319 ","9,305 ","7,805 ","45,340 ","3,615 ","10,333 ","13,619 ","16,622 ","21,562 ","15,762 ","10,838 ","28,116 ","16,823 ","33,972 ","28,579 ","9,566 ","37,185 ","26,964 ","22,848 ","21,074 ","26,721 ","164,535 ","57,629 ","25,405 ","25,378 ","40,348 ","24,858 ","26,957 ","24,457 ","12,518 ","30,425 ","7,081 ","8,695 ","18,607 ","5,920 ","4,147 ","3,342 ","12,490 ","9,880 ","14,140 ","26,872 ","10,195 ","14,331 ","9,289 ","24,811 ","24,622 ","30,185 ","45,649 ","39,817 ","30,952 ","28,590 ","80,663 ","23,244 ","37,821 ","39,238 ","27,970 ","70,764 ","21,083 ","17,398 ","15,787 ","28,071 ","13,677 ","48,339 ","22,717 ","7,975 ","18,244 ","45,393 ","23,721 ","27,016 ","28,178 ","8,060 ","12,347 ","5,265 ","6,028 ","10,344 ","10,596 ","11,700 ","12,875 ","18,881 ","31,010 ","28,404 ","14,783 ","12,940 ","13,822 ","13,315 ","12,944 ","10,808 ","9,736 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/8,"4,605 ","12,119 ","42,019 ","51,159 ","22,405 ","12,072 ","10,227 ","3,642 ","3,040 ","9,223 ","1,869 ","3,689 ","6,849 ","6,813 ","11,761 ","9,772 ","12,386 ","4,651 ","9,435 ","2,894 ","6,863 ","8,848 ","5,952 ","47,231 ","3,447 ","10,102 ","11,821 ","14,311 ","18,003 ","15,209 ","9,708 ","32,525 ","18,355 ","28,707 ","27,572 ","7,695 ","33,403 ","23,972 ","19,958 ","19,548 ","14,514 ","175,828 ","64,405 ","22,431 ","22,820 ","44,891 ","24,514 ","25,865 ","22,107 ","9,918 ","23,645 ","6,774 ","7,478 ","18,186 ","6,869 ","3,917 ","1,901 ","8,619 ","8,634 ","12,156 ","25,402 ","9,004 ","12,746 ","8,096 ","22,026 ","19,815 ","29,226 ","45,338 ","35,710 ","27,771 ","30,471 ","97,774 ","20,560 ","40,414 ","38,744 ","27,391 ","70,530 ","19,224 ","16,116 ","13,568 ","27,825 ","12,220 ","52,967 ","19,962 ","8,415 ","18,611 ","37,402 ","28,328 ","22,112 ","26,034 ","6,924 ","11,592 ","4,582 ","4,654 ","11,811 ","9,486 ","12,229 ","12,468 ","17,456 ","27,433 ","27,524 ","12,721 ","11,604 ","12,549 ","12,123 ","12,075 ","9,640 ","8,767 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/9,"3,425 ","7,623 ","22,623 ","37,664 ","13,448 ","9,113 ","6,761 ","3,114 ","2,233 ","6,128 ","1,423 ","2,548 ","5,342 ","5,380 ","8,937 ","4,098 ","6,061 ","3,551 ","7,389 ","2,510 ","5,077 ","7,547 ","2,372 ","35,420 ","3,214 ","8,447 ","8,738 ","10,894 ","12,991 ","11,991 ","7,767 ","27,335 ","13,875 ","19,943 ","19,655 ","4,044 ","25,441 ","17,699 ","13,785 ","14,733 ","8,447 ","155,801 ","52,114 ","14,150 ","16,972 ","37,119 ","20,614 ","21,324 ","16,553 ","7,379 ","17,156 ","5,310 ","4,828 ","15,324 ","5,937 ","3,232 ","1,537 ","7,335 ","6,586 ","9,239 ","23,854 ","5,961 ","9,834 ","5,777 ","15,689 ","12,697 ","22,414 ","34,809 ","25,581 ","20,073 ","26,317 ","81,771 ","12,503 ","31,969 ","25,831 ","20,377 ","47,289 ","13,611 ","12,300 ","7,411 ","20,610 ","8,167 ","39,954 ","11,846 ","7,509 ","14,105 ","17,778 ","20,604 ","12,694 ","18,154 ","5,111 ","7,354 ","3,120 ","2,396 ","11,241 ","7,432 ","9,415 ","9,704 ","11,640 ","17,066 ","20,793 ","9,438 ","8,086 ","9,401 ","8,560 ","9,204 ","7,288 ","6,451 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/2/10,"5,348 ","13,845 ","47,758 ","43,166 ","23,637 ","12,865 ","11,259 ","4,028 ","3,499 ","12,012 ","2,294 ","4,181 ","5,814 ","7,906 ","11,740 ","15,544 ","17,489 ","4,962 ","10,297 ","3,573 ","8,294 ","9,914 ","7,171 ","39,389 ","3,519 ","10,719 ","13,463 ","16,180 ","20,898 ","15,513 ","9,995 ","25,940 ","15,206 ","31,344 ","26,983 ","9,446 ","35,071 ","25,899 ","21,937 ","20,654 ","25,600 ","145,735 ","50,457 ","23,826 ","24,122 ","24,608 ","24,561 ","25,783 ","23,542 ","12,564 ","30,533 ","6,770 ","8,344 ","18,228 ","5,056 ","4,028 ","3,591 ","13,199 ","10,163 ","14,646 ","31,100 ","10,089 ","13,915 ","8,953 ","23,918 ","24,576 ","27,997 ","42,578 ","37,966 ","29,872 ","28,715 ","73,943 ","20,415 ","35,925 ","34,772 ","24,426 ","61,426 ","19,314 ","17,062 ","15,546 ","25,235 ","14,083 ","31,686 ","20,213 ","8,279 ","17,606 ","41,996 ","22,728 ","25,367 ","27,942 ","8,409 ","11,692 ","5,147 ","5,667 ","11,733 ","10,169 ","11,138 ","12,714 ","17,519 ","30,286 ","25,289 ","13,948 ","12,694 ","12,613 ","12,528 ","12,585 ","10,499 ","9,453 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
