"            Station
Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,"Dapinglin
(Songshan-Xindian Line)",Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,"Jingan
(Zhonghe-Xinlu Line)",Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,"Banqiao
(Bannan Line)",Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,"Touqianzhuang
(Zhonghe-Xinlu Line)",Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng,Shisizhang,Xiulang Bridge,Jingping,Zhonghe,Qiaohe,Zhongyuan,Banxin,"Banqiao
(Circular Line)",Xingpu Minsheng,Xingfu,New Taipei Industrial Park
2025/1/1,"3,449 ","6,806 ","19,603 ","34,195 ","11,812 ","7,344 ","6,027 ","3,083 ","1,819 ","7,016 ","1,259 ","2,754 ","7,692 ","5,141 ","9,290 ","4,066 ","5,048 ","3,194 ","6,671 ","2,738 ","4,837 ","4,858 ","2,599 ","15,803 ","3,096 ","10,154 ","7,906 ","10,241 ","11,474 ","10,824 ","7,034 ","16,920 ","9,045 ","16,849 ","17,713 ","3,734 ","23,185 ","15,479 ","12,631 ","13,758 ","10,827 ","135,912 ","50,236 ","14,145 ","12,993 ","24,478 ","21,903 ","22,012 ","16,146 ","6,840 ","17,198 ","5,142 ","4,466 ","14,665 ","6,573 ","2,560 ","1,605 ","7,716 ","6,631 ","9,979 ","28,142 ","5,712 ","9,119 ","5,110 ","13,693 ","11,219 ","19,327 ","34,099 ","22,909 ","17,274 ","28,168 ","71,110 ","10,999 ","26,100 ","21,741 ","19,068 ","44,730 ","12,383 ","11,620 ","6,876 ","18,118 ","8,298 ","28,010 ","10,370 ","5,621 ","13,564 ","16,892 ","9,659 ","11,521 ","16,415 ","5,264 ","6,954 ","2,673 ","2,087 ","6,217 ","5,901 ","7,828 ","9,624 ","11,032 ","16,886 ","20,031 ","8,013 ","7,309 ","8,095 ","7,945 ","8,132 ","6,730 ","5,622 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/2,"4,993 ","14,378 ","48,861 ","44,793 ","28,400 ","14,641 ","11,892 ","4,137 ","3,429 ","13,389 ","2,368 ","5,060 ","6,552 ","10,294 ","13,100 ","16,893 ","19,345 ","6,165 ","10,721 ","3,371 ","9,401 ","9,294 ","7,268 ","30,009 ","3,543 ","11,000 ","13,745 ","16,758 ","21,659 ","15,793 ","10,213 ","24,250 ","15,971 ","32,432 ","31,065 ","12,316 ","36,255 ","26,435 ","22,515 ","20,758 ","25,554 ","143,336 ","54,031 ","23,861 ","25,177 ","26,011 ","28,434 ","29,719 ","23,480 ","13,639 ","30,419 ","7,122 ","8,506 ","20,469 ","6,808 ","3,991 ","3,533 ","14,772 ","10,183 ","15,058 ","30,927 ","10,106 ","13,921 ","8,999 ","24,882 ","25,446 ","27,738 ","42,037 ","40,331 ","30,128 ","30,055 ","69,361 ","27,619 ","37,714 ","34,857 ","25,540 ","62,713 ","21,999 ","16,891 ","15,936 ","25,005 ","14,197 ","34,182 ","21,096 ","8,333 ","18,628 ","45,085 ","22,857 ","27,366 ","29,594 ","9,482 ","11,639 ","5,323 ","5,834 ","9,382 ","10,827 ","10,752 ","13,728 ","18,666 ","30,942 ","29,370 ","14,644 ","12,961 ","13,201 ","13,424 ","12,785 ","12,044 ","9,794 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/3,"5,345 ","15,120 ","52,105 ","50,767 ","29,604 ","14,907 ","12,362 ","4,252 ","3,462 ","13,880 ","2,294 ","5,089 ","6,792 ","10,147 ","14,563 ","16,881 ","19,383 ","6,215 ","11,044 ","3,702 ","9,732 ","9,687 ","7,380 ","32,429 ","3,646 ","11,523 ","14,108 ","16,947 ","22,476 ","17,061 ","10,703 ","26,406 ","17,161 ","33,813 ","30,888 ","11,907 ","37,954 ","27,385 ","23,191 ","21,282 ","26,932 ","164,933 ","59,883 ","25,994 ","26,440 ","30,587 ","30,164 ","30,859 ","25,804 ","14,068 ","32,051 ","7,385 ","9,160 ","21,732 ","7,158 ","4,286 ","3,579 ","14,893 ","10,828 ","15,712 ","32,272 ","10,585 ","15,718 ","9,657 ","25,875 ","25,802 ","29,963 ","46,623 ","41,711 ","31,283 ","31,737 ","77,567 ","27,769 ","39,819 ","39,203 ","27,586 ","70,620 ","23,201 ","17,655 ","17,087 ","29,192 ","15,256 ","41,900 ","22,959 ","8,982 ","19,581 ","46,867 ","23,992 ","28,197 ","31,294 ","9,551 ","12,285 ","5,706 ","5,947 ","9,741 ","11,244 ","11,578 ","14,625 ","20,195 ","32,657 ","31,301 ","15,204 ","13,864 ","14,072 ","13,878 ","13,431 ","12,273 ","10,058 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/4,"3,557 ","9,305 ","28,792 ","47,023 ","17,767 ","10,357 ","8,143 ","3,714 ","2,652 ","8,429 ","1,764 ","3,481 ","8,170 ","6,546 ","12,102 ","5,165 ","7,431 ","4,124 ","8,948 ","3,843 ","6,046 ","6,529 ","2,664 ","28,778 ","3,328 ","10,363 ","9,881 ","12,770 ","15,154 ","15,163 ","8,750 ","25,610 ","13,475 ","25,911 ","22,246 ","5,401 ","29,458 ","20,387 ","16,150 ","16,903 ","11,338 ","149,739 ","63,603 ","20,426 ","18,386 ","30,047 ","28,150 ","26,660 ","20,587 ","9,870 ","22,907 ","6,412 ","6,048 ","18,350 ","7,011 ","3,668 ","1,899 ","9,242 ","8,731 ","12,274 ","31,320 ","6,546 ","11,781 ","6,985 ","18,654 ","16,219 ","26,866 ","38,646 ","30,766 ","24,504 ","29,826 ","80,199 ","16,704 ","36,034 ","32,951 ","24,901 ","56,654 ","16,481 ","14,333 ","8,759 ","21,940 ","10,992 ","42,005 ","15,283 ","11,498 ","16,414 ","22,988 ","13,765 ","16,053 ","21,953 ","6,459 ","8,812 ","3,840 ","3,041 ","8,087 ","7,623 ","10,918 ","12,537 ","14,163 ","20,889 ","26,394 ","10,607 ","9,783 ","10,419 ","10,073 ","10,583 ","8,303 ","7,376 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/5,"3,565 ","7,516 ","21,817 ","35,040 ","13,053 ","8,644 ","6,548 ","3,361 ","2,311 ","7,245 ","1,473 ","2,944 ","7,449 ","5,818 ","10,113 ","4,362 ","6,133 ","3,642 ","7,509 ","3,792 ","5,194 ","5,851 ","2,361 ","20,701 ","3,163 ","9,827 ","8,500 ","10,967 ","13,147 ","12,430 ","7,752 ","21,098 ","11,433 ","20,140 ","19,645 ","5,181 ","24,831 ","17,584 ","13,359 ","14,880 ","8,843 ","131,456 ","49,011 ","14,391 ","16,145 ","26,072 ","23,536 ","23,019 ","17,076 ","7,697 ","18,443 ","5,281 ","4,912 ","15,151 ","6,178 ","2,869 ","1,606 ","8,250 ","7,104 ","10,786 ","29,203 ","5,832 ","9,773 ","5,691 ","15,122 ","12,609 ","20,920 ","32,907 ","25,558 ","19,955 ","25,511 ","64,520 ","12,135 ","29,077 ","23,538 ","20,852 ","42,996 ","13,431 ","12,125 ","7,682 ","17,752 ","8,724 ","33,426 ","11,390 ","10,536 ","13,728 ","17,007 ","14,381 ","13,257 ","17,869 ","5,724 ","7,025 ","3,134 ","2,478 ","7,051 ","6,510 ","8,309 ","10,415 ","11,445 ","16,095 ","21,363 ","8,671 ","8,064 ","8,508 ","8,439 ","8,633 ","7,149 ","6,063 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/6,"5,155 ","14,166 ","48,485 ","42,934 ","27,427 ","13,767 ","11,625 ","4,222 ","3,479 ","13,530 ","2,278 ","4,921 ","5,553 ","9,179 ","11,846 ","17,206 ","19,290 ","6,064 ","10,337 ","3,714 ","9,342 ","9,372 ","7,333 ","28,555 ","3,560 ","10,993 ","13,400 ","16,476 ","21,878 ","15,551 ","10,086 ","23,701 ","15,571 ","31,356 ","26,612 ","11,166 ","36,119 ","26,226 ","22,458 ","20,839 ","26,836 ","135,445 ","47,460 ","23,882 ","24,880 ","25,743 ","25,660 ","26,182 ","23,672 ","13,799 ","31,395 ","6,828 ","8,399 ","20,109 ","5,488 ","3,912 ","2,903 ","14,239 ","10,171 ","15,170 ","30,226 ","9,945 ","14,235 ","9,045 ","24,729 ","25,853 ","27,191 ","41,165 ","40,357 ","29,958 ","28,724 ","64,299 ","25,327 ","35,756 ","33,289 ","24,435 ","62,244 ","21,442 ","16,898 ","16,111 ","24,215 ","14,422 ","36,421 ","20,723 ","8,211 ","17,270 ","44,099 ","22,588 ","26,699 ","28,079 ","9,204 ","11,698 ","5,445 ","5,817 ","9,070 ","10,898 ","10,666 ","13,361 ","17,641 ","30,335 ","26,343 ","14,490 ","13,079 ","12,988 ","13,256 ","12,848 ","11,912 ","9,821 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/7,"5,154 ","14,543 ","49,807 ","44,861 ","28,221 ","14,628 ","12,240 ","4,226 ","3,598 ","13,498 ","2,371 ","5,025 ","6,210 ","9,497 ","12,150 ","17,784 ","19,926 ","6,061 ","10,747 ","3,838 ","9,330 ","9,756 ","7,394 ","29,496 ","3,603 ","11,245 ","13,754 ","16,797 ","21,952 ","16,417 ","10,542 ","24,531 ","16,351 ","32,915 ","30,264 ","11,351 ","37,092 ","27,289 ","22,637 ","21,300 ","26,422 ","136,007 ","49,945 ","24,594 ","25,519 ","26,702 ","27,171 ","28,468 ","24,696 ","13,747 ","31,785 ","7,005 ","8,822 ","20,946 ","6,150 ","4,122 ","3,579 ","14,960 ","10,475 ","15,631 ","30,134 ","10,004 ","14,706 ","9,217 ","25,257 ","26,654 ","28,311 ","41,573 ","41,429 ","30,934 ","29,077 ","64,015 ","27,324 ","36,268 ","34,805 ","24,610 ","62,882 ","22,069 ","17,160 ","16,075 ","24,507 ","14,248 ","31,997 ","21,235 ","8,473 ","18,013 ","44,738 ","23,328 ","27,349 ","28,817 ","9,190 ","11,752 ","5,505 ","5,842 ","9,136 ","11,059 ","10,718 ","13,225 ","18,725 ","31,408 ","28,134 ","14,749 ","13,260 ","13,424 ","13,288 ","13,106 ","12,283 ","10,032 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/8,"5,188 ","14,648 ","50,533 ","45,133 ","28,383 ","14,943 ","12,251 ","4,179 ","3,557 ","13,589 ","2,336 ","5,113 ","6,072 ","9,600 ","12,932 ","17,631 ","20,277 ","6,051 ","10,714 ","3,650 ","9,625 ","9,637 ","7,557 ","30,784 ","3,505 ","11,216 ","13,788 ","16,923 ","22,101 ","16,350 ","10,472 ","25,198 ","16,575 ","32,896 ","30,725 ","11,849 ","37,200 ","27,247 ","22,978 ","21,387 ","27,725 ","137,503 ","50,646 ","24,813 ","25,363 ","26,427 ","27,245 ","28,990 ","24,918 ","14,088 ","32,276 ","7,254 ","8,618 ","21,004 ","5,982 ","4,222 ","3,668 ","15,132 ","10,543 ","15,177 ","29,899 ","10,242 ","14,595 ","9,450 ","25,392 ","26,698 ","27,994 ","42,434 ","41,361 ","31,136 ","28,699 ","66,728 ","27,273 ","38,355 ","35,667 ","25,434 ","63,683 ","22,556 ","17,322 ","16,304 ","25,182 ","14,547 ","31,391 ","21,662 ","8,408 ","17,928 ","45,081 ","23,667 ","27,325 ","28,456 ","9,374 ","12,779 ","5,473 ","5,989 ","9,335 ","11,291 ","10,946 ","13,500 ","18,805 ","31,193 ","28,033 ","14,894 ","13,407 ","13,434 ","13,559 ","13,183 ","12,092 ","9,956 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/9,"5,005 ","14,828 ","49,836 ","45,918 ","28,207 ","14,586 ","12,060 ","4,302 ","3,561 ","14,327 ","2,255 ","4,911 ","5,552 ","9,632 ","12,650 ","17,615 ","19,604 ","6,091 ","10,507 ","3,308 ","9,479 ","9,533 ","7,394 ","30,375 ","3,719 ","10,770 ","13,777 ","16,764 ","21,714 ","16,095 ","10,349 ","24,736 ","16,749 ","32,836 ","29,618 ","11,143 ","37,075 ","26,952 ","22,571 ","21,163 ","26,667 ","139,308 ","51,503 ","24,123 ","25,452 ","25,555 ","25,524 ","27,272 ","24,598 ","13,646 ","31,218 ","6,965 ","8,681 ","20,076 ","6,116 ","4,128 ","3,521 ","14,598 ","10,044 ","15,001 ","28,000 ","10,110 ","13,916 ","9,121 ","24,977 ","25,697 ","27,868 ","42,051 ","41,022 ","31,096 ","28,645 ","64,601 ","26,362 ","37,408 ","36,031 ","25,452 ","64,406 ","22,389 ","17,166 ","16,419 ","25,892 ","14,172 ","32,024 ","21,315 ","8,183 ","17,961 ","45,764 ","23,514 ","27,407 ","28,022 ","9,025 ","11,790 ","5,404 ","5,916 ","9,174 ","10,986 ","10,850 ","13,401 ","18,706 ","30,859 ","28,429 ","14,699 ","13,413 ","13,331 ","13,604 ","13,000 ","12,076 ","9,905 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/1/10,"5,318 ","15,460 ","54,501 ","52,593 ","29,543 ","15,317 ","12,748 ","4,326 ","3,584 ","13,572 ","2,306 ","5,053 ","5,135 ","9,389 ","14,129 ","16,984 ","19,966 ","6,365 ","11,340 ","3,420 ","9,904 ","9,919 ","7,824 ","32,599 ","3,643 ","11,224 ","14,052 ","17,768 ","23,479 ","17,180 ","10,851 ","26,896 ","17,780 ","34,455 ","31,284 ","10,831 ","38,886 ","27,849 ","23,351 ","21,541 ","25,960 ","165,262 ","60,461 ","25,937 ","26,857 ","28,618 ","27,760 ","29,366 ","25,815 ","13,561 ","31,473 ","7,386 ","8,727 ","20,879 ","6,586 ","4,132 ","3,445 ","14,419 ","10,407 ","15,181 ","28,775 ","10,825 ","15,086 ","9,739 ","26,123 ","26,459 ","30,349 ","47,634 ","43,133 ","32,611 ","30,751 ","77,098 ","27,267 ","41,516 ","41,290 ","28,733 ","73,283 ","23,878 ","18,231 ","16,313 ","29,667 ","14,739 ","38,651 ","23,829 ","8,691 ","19,565 ","47,727 ","28,413 ","28,609 ","30,253 ","9,506 ","12,293 ","5,878 ","6,200 ","9,751 ","11,437 ","11,851 ","14,124 ","20,225 ","32,824 ","30,370 ","15,548 ","13,745 ","14,414 ","13,910 ","13,672 ","12,573 ","10,105 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
